ID_Student,Timestamp,Sentence,Latitude,Longitude
ID59,2024-03-23T03:55:35.845Z,"J'ai vu Emma au concert hier soir, elle avait l'air de vraiment s'amuser.",,-80.2710770469077,42.74101117496167
ID374,2024-03-30T07:32:37.833Z,"Le dernier projet de cours de design a reçu des éloges de plusieurs professeurs.",,22.853148316200574,-38.55662481562359
ID501,2024-03-15T04:55:32.759Z,"On doit vraiment faire une présentation orale pour ça ?",,56.252626615385594,121.31811913035921
ID704,2024-04-22T19:41:51.586Z,"Nina a été élue présidente du club de photographie.",,85.29066765454576,84.16339260290596
ID880,2024-04-24T13:04:37.638Z,"Qui est disponible pour réviser ce soir ?",,25.208100025637805,-121.41381275369415
ID690,2024-04-13T22:32:39.838Z,"Le labo était surbooké, je n'ai pas pu finir mes expériences.",,-26.194601915431235,83.17124194631845
ID722,2024-04-08T21:53:40.197Z,"Il y a une nouvelle salle de sport qui ouvre près du campus.",,9.175915684944584,32.20495394194549
ID504,2024-04-06T14:57:31.881Z,"Marie a organisé une super fête le weekend dernier, c'était incroyable.",,71.81707248778969,75.70348055288574
ID245,2024-03-26T05:31:15.956Z,"Tu as des recommandations pour un bon casque audio ?",,-73.75301013773529,-76.34156393172205
ID486,2024-04-08T08:04:17.164Z,"Le prof principal est absent, cours annulé aujourd'hui.",,-26.32003359276807,13.827563612918624
ID224,2024-03-15T07:46:53.978Z,"Qui est intéressé par un atelier de cuisine ce mois-ci ?",,-75.63507364627243,43.06177144352458
ID554,2024-03-30T05:09:24.164Z,"Tu as une méthode plus simple pour résoudre cette équation ?",,55.8666775245722,134.07416561326625
ID869,2024-03-17T20:20:24.663Z,"J'ai commencé à apprendre la guitare, c'est plus dur que je pensais.",,1.8707875835177248,-147.2794735456966
ID694,2024-04-08T20:33:49.650Z,"Le jardin botanique du campus est en train d'être agrandi.",,-4.981601558358477,-154.72498563259325
ID83,2024-03-08T21:51:51.642Z,"Je cherche quelqu'un pour échanger des livres de science-fiction, intéressé ?",,-13.171623810791843,-89.15131654424533
ID121,2024-04-13T00:23:01.056Z,"Tu as vu le dernier épisode de la série hier ?",,-12.060275329815113,141.01262737840995
ID596,2024-03-07T22:45:05.608Z,"Le club de cinéma va diffuser une série de films classiques.",,72.70812968042776,106.85159914671766
ID807,2024-04-05T09:50:01.107Z,"Tu sais où je pourrais vendre mon ancien appareil photo ?",,33.6162067012977,-46.91201242843303
ID335,2024-04-06T00:36:17.640Z,"On organise une soirée jeux vidéo samedi soir, tu viens ?",,-6.992166645754878,-50.41990230887143
ID35,2024-03-08T03:27:39.349Z,"Tu sais où je peux trouver de bons tutoriels de bricolage ?",,62.33272158605968,-7.587298970117956
ID814,2024-04-15T14:55:53.602Z,"Le système d'inscription aux cours est tellement compliqué.",,2.388177613197513,99.96207291021909
ID43,2024-03-07T14:46:59.861Z,"Le dernier film de science-fiction que nous avons vu ensemble était impressionnant.",,-38.02923304847175,-6.268463023439551
ID856,2024-03-15T07:01:38.360Z,"On a besoin de volontaires pour nettoyer la plage ce weekend, tu viens ?",,36.901363528242115,109.4177338123875
ID683,2024-03-22T23:43:50.766Z,"La cantine était fermée, je n'ai pas pu déjeuner.",,36.56289906400325,-149.4180456715037
ID127,2024-03-16T20:27:12.502Z,"Sarah a fait une présentation incroyable en cours de marketing, tout le monde en parle.",,-49.10915417552958,15.464795365677276
ID584,2024-03-11T15:02:10.815Z,"Le prof a encore ajouté des slides à la dernière minute.",,-42.817690765739975,96.89657139128315
ID42,2024-03-30T21:44:19.905Z,"Tu utilises quel matos pour tes vidéos YouTube ?",,-6.859680768765912,-144.0800983343505
ID285,2024-03-23T04:49:41.223Z,"On organise une sortie escalade, tu veux venir ?",,70.24576956439424,161.65502476941845
